Training Time: 38:31 minutes
weather cold HasProperty HasProperty
cellar attic Antonym Antonym
muscle weak Antonym Antonym
enlightenment ignorance Antonym Antonym
sport rule HasA HasA
lease property IsA IsA
crown coin IsA MadeOf
branch join Antonym IsA
lover person IsA IsA
cat eye HasA HasA
college university Synonym Antonym
person meat MadeOf MadeOf
soldier frighten HasProperty HasProperty
mammal fur HasA HasA
hammer hard HasProperty HasProperty
friend person IsA IsA
closet clothe HasA HasA
reward payment Synonym IsA
draw trace Antonym Synonym
decrease go_down Synonym Synonym
handle part IsA IsA
baseball_diamond place IsA IsA
ordinary unusual Antonym Antonym
floor surface IsA IsA
land shore Antonym Synonym
gay homosexual Synonym Synonym
pale bright Antonym HasProperty
document communication IsA IsA
chocolate sugar MadeOf MadeOf
sport fun HasProperty HasProperty
fight play Antonym IsA
friend important HasProperty HasProperty
bright dark Antonym Antonym
read listen Antonym Antonym
fold bend Synonym Synonym
lose leave_behind Synonym Synonym
den place IsA IsA
den build IsA IsA
squash sport IsA IsA
game play IsA Synonym
freeway busy HasProperty HasProperty
book important HasProperty HasProperty
head crown Synonym Synonym
sidewalk pavement MadeOf MadeOf
take remove Synonym Synonym
small minute Synonym Synonym
plain flat HasProperty Synonym
foyer hall Synonym IsA
mail paper MadeOf MadeOf
paper color HasProperty HasProperty
planet moon HasA HasA
meat vegetable Antonym Antonym
concrete sand MadeOf Antonym
recycle friendly HasProperty HasProperty
salad eat HasProperty HasProperty
bed chair Antonym Antonym
please disgust Antonym Antonym
loud quiet Antonym Antonym
serve move IsA IsA
brick clay MadeOf MadeOf
boy man IsA Antonym
head tail Antonym Antonym
kite blue HasProperty HasProperty
glass wood Antonym Antonym
fear emotion IsA IsA
bark rough HasProperty HasProperty
act art IsA PartOf
heart muscle IsA MadeOf
strength weak Antonym Antonym
face watch PartOf PartOf
soldier army PartOf PartOf
bike exercise IsA IsA
house phone HasA HasA
lawn place IsA IsA
green red Antonym Antonym
tie equal IsA Synonym
world huge HasProperty HasProperty
aluminium aluminum Synonym MadeOf
handle basket PartOf PartOf
short clothe IsA IsA
bread food IsA IsA
leave leave_behind Synonym Synonym
advance increase IsA Synonym
christian kind Synonym HasProperty
sing nice HasProperty HasProperty
can aluminum MadeOf MadeOf
weak powerful Antonym Antonym
finger long HasProperty HasProperty
spring metal MadeOf MadeOf
human nice HasProperty HasProperty
fire fireplace IsA PartOf
paint image IsA IsA
element member Synonym Synonym
beauty rare HasProperty HasProperty
lyric write IsA IsA
bathroom place IsA IsA
computer compact HasProperty HasProperty
cast throw Synonym IsA
spot stain Synonym Synonym
mind memory Synonym Synonym
music guitar MadeOf MadeOf
flower stem Antonym HasA
huge small Antonym Antonym
pull move IsA IsA
grow cultivate Synonym Synonym
dinner lunch Synonym Antonym
knowledge science Synonym PartOf
branch trunk Antonym Antonym
look watch Synonym IsA
pin sharp HasProperty HasProperty
strange weird Synonym Synonym
sleep relax IsA HasProperty
turn movement IsA IsA
tread step PartOf Synonym
organism disease HasA HasA
breathe exist IsA IsA
punishment reward Antonym Antonym
lift depress Antonym Antonym
dress trouser Antonym Antonym
rest work Antonym Antonym
drive trip Synonym IsA
air gas MadeOf IsA
ball toy IsA IsA
bone skin Antonym Antonym
idle active Antonym Antonym
island beach HasA HasA
person religion HasProperty HasA
map fold HasProperty HasProperty
sheet_of_paper paper IsA IsA
praise important HasProperty HasProperty
misery sadness IsA Synonym
flag mark IsA IsA
function use Synonym Synonym
increase sink Antonym Antonym
ribbon red HasProperty HasProperty
nice charm Synonym Synonym
top complete IsA IsA
female girl Synonym Synonym
pay settle IsA Synonym
seal close IsA IsA
pain life PartOf PartOf
animal mineral Antonym MadeOf
human sex HasA HasA
detail general Antonym Antonym
divorce marry Antonym Antonym
joint body_part IsA PartOf
fan person IsA IsA
change action IsA IsA
anger calm Antonym Antonym
produce destroy Antonym Antonym
head body PartOf PartOf
power hold Synonym Synonym
stop act IsA IsA
familiar unknown Antonym Antonym
create business IsA IsA
club stick IsA Synonym
black illuminate Antonym Antonym
brush tail Synonym HasA
lunch breakfast Antonym Antonym
fight violence HasA IsA
shirt button HasA HasA
build ugly HasProperty HasProperty
smart stupid Antonym Antonym
family evil HasProperty HasProperty
complete empty Antonym Antonym
mouth face PartOf PartOf
garbage rubbish Synonym Synonym
we nice HasProperty HasProperty
cold disease IsA IsA
increase reduce Antonym Antonym
lightning beautiful HasProperty HasProperty
snake black HasProperty HasProperty
lyric song PartOf PartOf
thick smart Antonym Antonym
place seat Synonym Synonym
brush move IsA IsA
holiday fun HasProperty HasProperty
spirit material Antonym Antonym
typewriter old HasProperty HasProperty
positive uncertain Antonym Antonym
adventure home Antonym Antonym
vision dream Synonym Synonym
dwell house PartOf Synonym
bring take Antonym Synonym
birth change IsA IsA
stretch exercise IsA IsA
window frame HasA HasA
storm calm Antonym Antonym
person god HasProperty Antonym
apple healthy HasProperty HasProperty
college fun HasProperty HasProperty
violin fragile HasProperty HasProperty
time absolute HasProperty HasProperty
fish animal Antonym IsA
window wall Antonym Antonym
cd flat HasProperty HasProperty
communism society IsA IsA
divorce split Synonym Synonym
table stable HasProperty IsA
earth live HasProperty HasProperty
close far Antonym Antonym
keep take Antonym Synonym
channel sound Synonym HasA
use album IsA IsA
feather cover IsA IsA
learn fun HasProperty HasProperty
nose face PartOf PartOf
cellar place IsA IsA
album vinyl MadeOf MadeOf
seat device IsA IsA
blow hit Synonym Synonym
knit join IsA IsA
city build HasA IsA
dirty bright Antonym Antonym
head pin PartOf PartOf
ranch place IsA IsA
priest order PartOf PartOf
bathroom toilet HasA Synonym
competition fun HasProperty HasProperty
heat change IsA IsA
school department Synonym HasA
axe sharp HasProperty HasProperty
diamond shape IsA IsA
bowl dish IsA IsA
white_house government Synonym PartOf
follower leader Antonym Antonym
raise construct IsA IsA
music quiet Antonym Antonym
moon dry HasProperty HasProperty
galaxy milky_way Synonym PartOf
dance move IsA IsA
life good HasProperty HasProperty
lift ride Synonym Synonym
tool important HasProperty HasProperty
china japan Antonym PartOf
roof cave PartOf PartOf
hunger uncomfortable HasProperty HasProperty
continent ocean Antonym Antonym
corn plant IsA IsA
dance art IsA IsA
baby young HasProperty HasProperty
fever illness IsA IsA
speak talk IsA Synonym
approach movement IsA Synonym
play use IsA IsA
curve square Antonym Antonym
pool water HasA HasA
drum instrument IsA IsA
orgasm fun HasProperty HasProperty
hollow cavity Synonym Synonym
write post Synonym Synonym
glass orange HasProperty HasProperty
ocean water MadeOf MadeOf
water spout HasA Synonym
tail animal PartOf PartOf
light good HasProperty HasProperty
wire fasten IsA IsA
paper light HasProperty HasProperty
action movement Synonym Synonym
tall low Antonym Antonym
private see Antonym Antonym
doctor patient Antonym HasA
great huge Synonym Synonym
bolt rifle PartOf PartOf
horn ram PartOf PartOf
scale fish PartOf PartOf
kindness action IsA IsA
point mark Synonym Synonym
flower fruit Antonym Antonym
accident happen IsA IsA
happy unhappy Antonym Antonym
develop destroy Antonym Antonym
child parent Antonym HasA
minister clergyman IsA Synonym
book knowledge HasA HasA
funeral sad HasProperty HasProperty
jack leg HasA HasA
snake animal PartOf IsA
france cool HasProperty HasProperty
wheel object IsA IsA
human flesh MadeOf MadeOf
attach fasten Synonym Synonym
leave back Antonym Antonym
bitter tasty Antonym Antonym
tread squash IsA Antonym
title head IsA PartOf
sick healthy Antonym Antonym
touch see Antonym Antonym
depression mood IsA IsA
noise sound IsA Synonym
displease please Antonym Antonym
hail rain Antonym Antonym
watch alarm HasA HasA
mature change IsA IsA
stick log Antonym Synonym
case fact IsA IsA
rain water MadeOf IsA
volcano mountain IsA IsA
human exercise HasA HasProperty
make manufacture Synonym Synonym
age life PartOf PartOf
house brick MadeOf MadeOf
rest energy Antonym Antonym
edge flat Antonym Antonym
watch tell Antonym IsA
board wood MadeOf MadeOf
north_america west PartOf Antonym
sex dirty HasProperty HasProperty
boat sail HasA HasA
active person IsA IsA
heavy light Antonym Antonym
girl child HasProperty IsA
silence talk Antonym Antonym
surprise plan Antonym Antonym
envelope white HasProperty HasProperty
leader human IsA IsA
material information IsA Synonym
listen mind Synonym PartOf
toe sock PartOf PartOf
fire wet Antonym Antonym
divorce separation Synonym IsA
person busy HasProperty HasProperty
space crowd Antonym Synonym
race play IsA IsA
knot knit Synonym Synonym
gun knife Antonym Antonym
settle fix Synonym Synonym
empty remove IsA IsA
mild irritate Antonym Antonym
connect separate Antonym Antonym
book record Synonym IsA
horse hair HasA HasA
smile good HasProperty HasProperty
fish hobby IsA IsA
earth word IsA IsA
flesh color IsA HasProperty
hobby relax HasProperty HasProperty
ink mark IsA IsA
room apartment IsA PartOf
ingredient dish PartOf PartOf
ideology political_ideology Synonym Synonym
dance sit Antonym Antonym
kiss excite HasProperty HasProperty
love care IsA Synonym
mind brain Synonym Synonym
catch get IsA Synonym
son female Antonym Antonym
ceiling horizontal HasProperty HasProperty
waste valuable Antonym Antonym
flower plant PartOf PartOf
problem solution Antonym Antonym
mistake success Antonym Antonym
boredom excitement Antonym Antonym
mate match Synonym IsA
church quiet HasProperty HasProperty
dog fur HasA HasA
seat car PartOf PartOf
build construction Synonym Synonym
mistake correct Antonym Antonym
cookie good HasProperty HasProperty
credit faith Synonym MadeOf
player team PartOf PartOf
sunset beautiful HasProperty HasProperty
faith trust IsA Synonym
feather pillow PartOf PartOf
health good HasProperty HasProperty
boy girl Antonym Antonym
program work IsA IsA
pencil lead HasA HasA
child human_be IsA IsA
work book IsA IsA
vacation relax HasProperty HasProperty
storm weather IsA PartOf
smooth bumpy Antonym Antonym
person late HasProperty HasProperty
hour second Antonym Antonym
circle ring Synonym Synonym
chair uncomfortable HasProperty HasProperty
affair marriage Antonym Antonym
sheet_of_paper leaf Synonym MadeOf
boy child HasProperty IsA
cut sew Antonym Antonym
independence illusion IsA IsA
health sickness Antonym Antonym
ham person IsA IsA
balloon water HasA HasA
catch stop Synonym Antonym
cellar basement Synonym Synonym
apple seed HasA HasA
copy unique Antonym Antonym
girlfriend enemy Antonym Antonym
pig bone HasA HasA
power business IsA IsA
dance song Antonym IsA
head understand Synonym Synonym
beef good HasProperty HasProperty
atom molecule PartOf Antonym
plane vehicle IsA IsA
apple sweet HasProperty HasProperty
robot metal MadeOf MadeOf
war violence MadeOf IsA
short pant IsA Synonym
break happen IsA IsA
diamond valuable HasProperty HasProperty
down up Antonym Antonym
spirit light HasProperty HasProperty
seat support IsA IsA
dark deep Synonym Synonym
peace happen Antonym IsA
salt mineral IsA MadeOf
dog puppy HasA HasA
run speed Synonym IsA
flat smooth Synonym Synonym
boot black HasProperty HasProperty
leg human PartOf PartOf
tight open Antonym Antonym
shop fun HasProperty HasProperty
anchor iron MadeOf MadeOf
boss head Synonym Synonym
person sour HasProperty HasProperty
square shape IsA IsA
image form Synonym IsA
rollercoaster fun HasProperty HasProperty
light illuminate Synonym Synonym
mean nice Antonym Antonym
nothing have Antonym Antonym
button mouse PartOf PartOf
blow vacuum Antonym Antonym
drink good HasProperty HasProperty
animal life IsA PartOf
life precious HasProperty HasProperty
church temple Antonym Antonym
copy image Synonym IsA
chair sit IsA IsA
faith good HasProperty HasProperty
music bad HasProperty HasProperty
pipe wind_instrument IsA IsA
give move Synonym IsA
increase change IsA IsA
mouse cat Antonym Antonym
side half Synonym Synonym
head rear Antonym Antonym
door large HasProperty HasProperty
war hostility IsA Synonym
apartment home IsA IsA
park garden Synonym HasA
north_america earth PartOf PartOf
person mean HasProperty HasProperty
paint mark IsA IsA
adult child Antonym Antonym
soprano person IsA IsA
tour move Synonym IsA
wheel metal MadeOf MadeOf
bite piece Synonym IsA
person one HasProperty HasProperty
heart human_body PartOf PartOf
free trap Antonym Antonym
try goal IsA IsA
wire thread Synonym MadeOf
ocean fish HasA HasA
proud humble Antonym Antonym
car mobile HasProperty HasProperty
royal subject Antonym IsA
take_away remove Synonym IsA
listen note Synonym Synonym
tree trunk HasA HasA
food taste HasA HasProperty
horse fast HasProperty HasProperty
life world Synonym PartOf
car hobby IsA IsA
crook police Antonym PartOf
wolf mammal IsA IsA
naughty dirty Synonym HasProperty
construct destroy Antonym Antonym
you baby HasA Antonym
apartment flat Synonym HasProperty
skin apple PartOf PartOf
sound taste Antonym Antonym
god human IsA Antonym
trip step IsA Antonym
balance match IsA Synonym
movie fun HasProperty HasProperty
misery happiness Antonym Antonym
sugar candy PartOf PartOf
handle baggage PartOf PartOf
drink fun HasProperty HasProperty
happy sadness Antonym Antonym
book paper MadeOf MadeOf
feature article Synonym Synonym
pupil student Synonym Synonym
burn freeze Antonym Antonym
medicine poison Antonym Antonym
forest land IsA IsA
column post Synonym Antonym
captain master Synonym Synonym
car red HasProperty HasProperty
person strange HasProperty HasProperty
destroy raise Antonym Antonym
earth planet Synonym IsA
bread white HasProperty HasProperty
weird strange IsA Synonym
person feel HasA HasA
mountain high HasProperty HasProperty
refuse rubbish Synonym Synonym
game real Antonym Antonym
clean dirty Antonym Antonym
rain weather IsA PartOf
pool relax HasProperty HasProperty
marijuana illegal HasProperty HasProperty
concrete hard HasProperty HasProperty
clear settle IsA Synonym
chocolate color IsA IsA
flesh meat Synonym MadeOf
depression happy Antonym Antonym
memory computer PartOf PartOf
plant cell MadeOf MadeOf
parent family IsA PartOf
courthouse place IsA IsA
waste burn HasProperty IsA
lot group Synonym Synonym
cook person IsA IsA
ghost person IsA IsA
football ball IsA Synonym
key metal MadeOf MadeOf
mail post Synonym IsA
basket plastic MadeOf MadeOf
leaf tree PartOf PartOf
walk travel IsA IsA
ceiling floor Antonym Antonym
house floor HasA HasA
elephant nose HasA HasA
lazy act Antonym IsA
die game IsA PartOf
smart bright Antonym HasProperty
well device IsA IsA
person mouth HasA HasA
group set Synonym Synonym
ram weapon IsA IsA
choice action IsA IsA
object sharp HasProperty HasProperty
ride park Antonym PartOf
move remove Synonym IsA
pan handle HasA HasA
clear clean Synonym Synonym
town place IsA IsA
clock complicate HasProperty HasProperty
rock hard IsA HasProperty
steam energy HasA IsA
soup dish IsA IsA
order peace Synonym Synonym
turkey balkan_peninsula PartOf PartOf
stress bad HasProperty HasProperty
door doorway PartOf Synonym
sun night Antonym Antonym
point end Synonym Synonym
age change IsA IsA
roll stationary Antonym Antonym
wine tasty HasProperty HasProperty
cloud sky PartOf PartOf
knob radio PartOf PartOf
point place Synonym IsA
calm stress Antonym Antonym
leak seal Antonym Antonym
move stand Antonym Antonym
shower rain IsA IsA
container plastic MadeOf MadeOf
want hold Antonym Antonym
house wood MadeOf MadeOf
pool game IsA IsA
chest trunk PartOf Synonym
loneliness bad HasProperty HasProperty
steal bad HasProperty HasProperty
pit cavity IsA Synonym
time precious HasProperty HasProperty
fabric sofa PartOf PartOf
joint fasten IsA IsA
field court Synonym Antonym
index finger IsA Antonym
beautiful nasty Antonym Antonym
lower movement IsA IsA
bird fly HasProperty HasProperty
cat beautiful HasProperty HasProperty
oil liquid HasProperty IsA
army soldier MadeOf HasA
bug insect Synonym IsA
everyone feel HasA HasA
fireplace box IsA IsA
divide share Synonym Antonym
settle unsettle Antonym Antonym
pain feel IsA IsA
contract expand Antonym Antonym
ocean sea Synonym IsA
sport entertainment IsA IsA
field beautiful HasProperty HasProperty
relax stress Antonym Antonym
grow change IsA IsA
cat penis HasA HasA
chair stool Antonym Synonym
man penis HasA HasA
bridge steel MadeOf MadeOf
miss correct Antonym Antonym
old_lady wife IsA Synonym
settle stop IsA IsA
box computer Synonym HasA
closet cabinet Synonym HasA
bite pierce IsA Synonym
perfect rubbish Antonym Antonym
bed square HasProperty HasProperty
familiar strange Antonym Antonym
space silent HasProperty HasProperty
appear look Synonym IsA
person wrong HasProperty HasProperty
cabinet place IsA IsA
carpet wool MadeOf MadeOf
belief faith PartOf Synonym
school book IsA HasA
corrupt change IsA IsA
board surface IsA IsA
cat alive HasProperty HasProperty
ride transportation Synonym IsA
human tooth HasA HasA
page sheet_of_paper IsA Antonym
bicycle fun HasProperty HasProperty
gentleman lady Antonym Antonym
cry laugh Antonym Antonym
slip move IsA IsA
hospital clean HasProperty HasProperty
sheet_of_paper letter PartOf HasA
stream fish HasA HasA
holiday happy HasProperty HasProperty
pee relief HasProperty IsA
men girl Antonym Antonym
color shade Synonym Synonym
bike stationary HasProperty HasProperty
function work Synonym Synonym
letter number Antonym Antonym
enemy person IsA IsA
sleep wake_up Antonym Antonym
paint color HasProperty HasProperty
farm town Antonym Antonym
vacation trip IsA Synonym
modern old Antonym Antonym
hop jump Antonym Synonym
computer heavy HasProperty HasProperty
leg table PartOf PartOf
everyone body HasA HasA
relief comfort IsA Synonym
refuse waste HasProperty Synonym
white color IsA IsA
phone machine IsA IsA
tree seed HasA HasA
duck yellow HasProperty HasProperty
act perform IsA IsA
typewriter key HasA HasA
trash useless HasProperty HasProperty
stone cold HasProperty HasProperty
shop store IsA Synonym
movement watch PartOf PartOf
fire yellow HasProperty HasProperty
clean filthy Antonym Antonym
same equal Synonym Synonym
succeed success Synonym Synonym
house red HasProperty HasProperty
baby fun HasProperty HasProperty
face human PartOf PartOf
drive fun HasProperty HasProperty
leader person IsA IsA
draw write IsA Antonym
result end IsA Synonym
nucleus atom PartOf PartOf
cool heat Antonym Antonym
exercise rest Antonym Antonym
room dark HasProperty HasProperty
bird interest HasProperty HasProperty
customer person IsA IsA
doctor smart HasProperty HasProperty
whole part MadeOf Antonym
disk flat HasProperty HasProperty
car trunk HasA HasA
reduce up Antonym Antonym
travel traffic Synonym Synonym
run travel Synonym IsA
set member MadeOf MadeOf
pretend lie Synonym Synonym
john person IsA IsA
voice musical_composition IsA PartOf
library literature HasA HasA
chest body_part IsA IsA
alcoholic human IsA IsA
defeat success Antonym Antonym
bloom flower Synonym IsA
lightning thunder Antonym Antonym
die pass Synonym IsA
hole cavity Synonym Synonym
football rough HasProperty HasProperty
happiness unhappiness Antonym Antonym
separation change IsA IsA
new_jersey state IsA IsA
mark design IsA IsA
circle group Synonym IsA
coin silver MadeOf MadeOf
new_jersey place IsA IsA
pass answer Antonym Antonym
tile stone MadeOf MadeOf
hospital patient HasA HasA
armor plate Synonym IsA
cigarette smoke Synonym HasProperty
sex bad HasProperty HasProperty
person hand HasA HasA
cell_phone white HasProperty HasProperty
half whole PartOf Antonym
warmth cold Antonym Antonym
hair root HasA HasA
company place IsA IsA
music information HasA Antonym
shade heat Antonym Antonym
fly swim Antonym Antonym
feel soft HasProperty HasProperty
lower change IsA IsA
empire_state_build place IsA IsA
horse calm HasProperty HasProperty
conflict peace Antonym Antonym
divorce connect Antonym Antonym
dog tail HasA HasA
sit get_up Antonym Antonym
compound simple Antonym Antonym
care hurt Antonym Antonym
cigarette bad HasProperty HasProperty
move walk Synonym Synonym
great_britain country HasProperty IsA
butch person IsA IsA
practice performance Antonym Antonym
far short Antonym Antonym
church window HasA HasA
hero person IsA IsA
child play HasProperty HasProperty
freedom jail Antonym Antonym
pepper green HasProperty HasProperty
color color Synonym Synonym
water wet IsA HasProperty
drill practice Synonym IsA
murder wrong HasProperty HasProperty
knot tie Synonym Synonym
girl female IsA HasProperty
lead head Synonym PartOf
speak sound IsA IsA
exist be Synonym Synonym
kitchen stove HasA HasA
argument conclusion PartOf HasA
collar hem Antonym Synonym
market place IsA IsA
river land Antonym Antonym
late time Antonym IsA
sister family PartOf PartOf
lace white HasProperty HasProperty
cloud blue Antonym HasProperty
begin end Antonym Antonym
steak eat HasProperty HasProperty
point view Synonym Synonym
key door PartOf PartOf
consume burn Synonym IsA
