Training Time: 39:19 minutes
tool important HasProperty HasProperty
china japan Antonym Antonym
roof cave PartOf PartOf
hunger uncomfortable HasProperty HasProperty
continent ocean Antonym Antonym
corn plant IsA IsA
dance art IsA IsA
baby young HasProperty HasProperty
fever illness IsA IsA
speak talk IsA Synonym
approach movement IsA IsA
play use IsA IsA
curve square Antonym Antonym
pool water HasA HasA
drum instrument IsA IsA
orgasm fun HasProperty HasProperty
hollow cavity Synonym Synonym
write post Synonym Synonym
glass orange HasProperty HasProperty
ocean water MadeOf MadeOf
water spout HasA PartOf
tail animal PartOf PartOf
light good HasProperty HasProperty
wire fasten IsA IsA
paper light HasProperty HasProperty
action movement Synonym Synonym
tall low Antonym Antonym
private see Antonym Antonym
doctor patient Antonym Antonym
great huge Synonym HasProperty
bolt rifle PartOf PartOf
horn ram PartOf PartOf
scale fish PartOf PartOf
kindness action IsA IsA
point mark Synonym IsA
flower fruit Antonym Antonym
accident happen IsA IsA
happy unhappy Antonym Antonym
develop destroy Antonym Antonym
child parent Antonym HasA
minister clergyman IsA IsA
book knowledge HasA HasA
funeral sad HasProperty HasProperty
jack leg HasA HasA
snake animal PartOf IsA
france cool HasProperty HasProperty
wheel object IsA IsA
human flesh MadeOf HasA
attach fasten Synonym IsA
leave back Antonym Antonym
bitter tasty Antonym Antonym
tread squash IsA Synonym
title head IsA PartOf
sick healthy Antonym Antonym
touch see Antonym Antonym
depression mood IsA IsA
noise sound IsA Synonym
displease please Antonym Antonym
hail rain Antonym IsA
watch alarm HasA Antonym
mature change IsA IsA
stick log Antonym Synonym
case fact IsA IsA
rain water MadeOf HasProperty
volcano mountain IsA IsA
human exercise HasA HasProperty
make manufacture Synonym Synonym
age life PartOf PartOf
house brick MadeOf MadeOf
rest energy Antonym Antonym
edge flat Antonym Antonym
watch tell Antonym IsA
board wood MadeOf MadeOf
north_america west PartOf Antonym
sex dirty HasProperty HasProperty
boat sail HasA HasA
active person IsA IsA
heavy light Antonym Antonym
girl child HasProperty IsA
silence talk Antonym Antonym
surprise plan Antonym Antonym
envelope white HasProperty HasProperty
leader human IsA IsA
material information IsA Synonym
listen mind Synonym PartOf
toe sock PartOf PartOf
fire wet Antonym HasProperty
divorce separation Synonym IsA
person busy HasProperty HasProperty
space crowd Antonym Antonym
race play IsA IsA
knot knit Synonym Antonym
gun knife Antonym Antonym
settle fix Synonym Synonym
empty remove IsA IsA
mild irritate Antonym Antonym
connect separate Antonym Antonym
book record Synonym IsA
horse hair HasA HasA
smile good HasProperty HasProperty
fish hobby IsA IsA
earth word IsA HasA
flesh color IsA HasProperty
hobby relax HasProperty HasProperty
ink mark IsA IsA
room apartment IsA PartOf
ingredient dish PartOf PartOf
ideology political_ideology Synonym Synonym
dance sit Antonym Antonym
kiss excite HasProperty HasProperty
love care IsA IsA
mind brain Synonym Synonym
catch get IsA Synonym
son female Antonym Antonym
ceiling horizontal HasProperty HasProperty
waste valuable Antonym Antonym
flower plant PartOf PartOf
problem solution Antonym Antonym
mistake success Antonym Antonym
boredom excitement Antonym Antonym
mate match Synonym Synonym
church quiet HasProperty HasProperty
dog fur HasA HasA
seat car PartOf PartOf
build construction Synonym Synonym
mistake correct Antonym Antonym
cookie good HasProperty HasProperty
credit faith Synonym IsA
player team PartOf PartOf
sunset beautiful HasProperty HasProperty
faith trust IsA Synonym
feather pillow PartOf PartOf
health good HasProperty HasProperty
boy girl Antonym Antonym
program work IsA IsA
pencil lead HasA HasA
child human_be IsA IsA
work book IsA Synonym
vacation relax HasProperty HasProperty
storm weather IsA IsA
smooth bumpy Antonym Antonym
person late HasProperty HasProperty
hour second Antonym Antonym
circle ring Synonym Synonym
chair uncomfortable HasProperty HasProperty
affair marriage Antonym Antonym
sheet_of_paper leaf Synonym HasA
boy child HasProperty IsA
cut sew Antonym Antonym
independence illusion IsA IsA
health sickness Antonym Antonym
ham person IsA IsA
balloon water HasA HasA
catch stop Synonym Antonym
cellar basement Synonym Synonym
apple seed HasA HasA
copy unique Antonym Antonym
girlfriend enemy Antonym Antonym
pig bone HasA HasA
power business IsA IsA
dance song Antonym IsA
head understand Synonym IsA
beef good HasProperty HasProperty
atom molecule PartOf PartOf
plane vehicle IsA IsA
apple sweet HasProperty HasProperty
robot metal MadeOf MadeOf
war violence MadeOf HasProperty
short pant IsA Synonym
break happen IsA IsA
diamond valuable HasProperty HasProperty
down up Antonym Antonym
spirit light HasProperty HasProperty
seat support IsA IsA
dark deep Synonym Synonym
peace happen Antonym IsA
salt mineral IsA IsA
dog puppy HasA HasA
run speed Synonym HasProperty
flat smooth Synonym Synonym
boot black HasProperty HasProperty
leg human PartOf PartOf
tight open Antonym Antonym
shop fun HasProperty HasProperty
anchor iron MadeOf MadeOf
boss head Synonym Synonym
person sour HasProperty HasProperty
square shape IsA IsA
image form Synonym IsA
rollercoaster fun HasProperty HasProperty
light illuminate Synonym Synonym
mean nice Antonym Antonym
nothing have Antonym Antonym
button mouse PartOf PartOf
blow vacuum Antonym Antonym
drink good HasProperty HasProperty
animal life IsA HasA
life precious HasProperty HasProperty
church temple Antonym Antonym
copy image Synonym Synonym
chair sit IsA Antonym
faith good HasProperty HasProperty
music bad HasProperty HasProperty
pipe wind_instrument IsA IsA
give move Synonym IsA
increase change IsA IsA
mouse cat Antonym Antonym
side half Synonym Synonym
head rear Antonym Antonym
door large HasProperty HasProperty
war hostility IsA Synonym
apartment home IsA IsA
park garden Synonym Synonym
north_america earth PartOf PartOf
person mean HasProperty HasProperty
paint mark IsA IsA
adult child Antonym Antonym
soprano person IsA IsA
tour move Synonym IsA
wheel metal MadeOf MadeOf
bite piece Synonym IsA
person one HasProperty HasProperty
heart human_body PartOf PartOf
free trap Antonym Antonym
try goal IsA Synonym
wire thread Synonym Synonym
ocean fish HasA HasA
proud humble Antonym Antonym
car mobile HasProperty IsA
royal subject Antonym IsA
take_away remove Synonym IsA
listen note Synonym Synonym
tree trunk HasA HasA
food taste HasA HasProperty
horse fast HasProperty HasProperty
life world Synonym PartOf
car hobby IsA IsA
crook police Antonym Antonym
wolf mammal IsA IsA
naughty dirty Synonym HasProperty
construct destroy Antonym Antonym
you baby HasA HasProperty
apartment flat Synonym Synonym
skin apple PartOf PartOf
sound taste Antonym Antonym
god human IsA Antonym
trip step IsA Synonym
balance match IsA Synonym
movie fun HasProperty HasProperty
misery happiness Antonym Antonym
sugar candy PartOf PartOf
handle baggage PartOf Synonym
drink fun HasProperty HasProperty
happy sadness Antonym Antonym
book paper MadeOf MadeOf
feature article Synonym IsA
pupil student Synonym Synonym
burn freeze Antonym Antonym
medicine poison Antonym Antonym
forest land IsA IsA
column post Synonym IsA
captain master Synonym Antonym
car red HasProperty HasProperty
person strange HasProperty HasProperty
destroy raise Antonym Antonym
earth planet Synonym IsA
bread white HasProperty HasProperty
weird strange IsA Synonym
person feel HasA HasProperty
mountain high HasProperty HasProperty
refuse rubbish Synonym Synonym
game real Antonym Antonym
clean dirty Antonym Antonym
rain weather IsA IsA
pool relax HasProperty HasProperty
marijuana illegal HasProperty HasProperty
concrete hard HasProperty HasProperty
clear settle IsA Synonym
chocolate color IsA IsA
flesh meat Synonym MadeOf
depression happy Antonym Antonym
memory computer PartOf PartOf
plant cell MadeOf MadeOf
parent family IsA PartOf
courthouse place IsA IsA
waste burn HasProperty Synonym
lot group Synonym Synonym
cook person IsA IsA
ghost person IsA IsA
football ball IsA Synonym
key metal MadeOf MadeOf
mail post Synonym IsA
basket plastic MadeOf MadeOf
leaf tree PartOf PartOf
walk travel IsA IsA
ceiling floor Antonym Antonym
house floor HasA HasA
elephant nose HasA HasA
lazy act Antonym IsA
die game IsA IsA
smart bright Antonym Synonym
well device IsA IsA
person mouth HasA HasA
group set Synonym Synonym
ram weapon IsA IsA
choice action IsA IsA
object sharp HasProperty HasProperty
ride park Antonym Antonym
move remove Synonym IsA
pan handle HasA HasA
clear clean Synonym Synonym
town place IsA IsA
clock complicate HasProperty HasProperty
rock hard IsA HasProperty
steam energy HasA IsA
soup dish IsA IsA
order peace Synonym Synonym
turkey balkan_peninsula PartOf PartOf
stress bad HasProperty HasProperty
door doorway PartOf Synonym
sun night Antonym Antonym
point end Synonym Synonym
age change IsA IsA
roll stationary Antonym Antonym
wine tasty HasProperty HasProperty
cloud sky PartOf PartOf
knob radio PartOf PartOf
point place Synonym IsA
calm stress Antonym Antonym
leak seal Antonym Antonym
move stand Antonym Antonym
shower rain IsA Synonym
container plastic MadeOf MadeOf
want hold Antonym Antonym
house wood MadeOf MadeOf
pool game IsA IsA
chest trunk PartOf Synonym
loneliness bad HasProperty HasProperty
steal bad HasProperty HasProperty
pit cavity IsA IsA
time precious HasProperty HasProperty
fabric sofa PartOf PartOf
joint fasten IsA IsA
field court Synonym Antonym
index finger IsA PartOf
beautiful nasty Antonym Antonym
lower movement IsA IsA
bird fly HasProperty HasProperty
cat beautiful HasProperty HasProperty
oil liquid HasProperty HasProperty
army soldier MadeOf HasA
bug insect Synonym IsA
everyone feel HasA HasProperty
fireplace box IsA IsA
divide share Synonym Antonym
settle unsettle Antonym Antonym
pain feel IsA IsA
contract expand Antonym Antonym
ocean sea Synonym Synonym
sport entertainment IsA IsA
field beautiful HasProperty HasProperty
relax stress Antonym Antonym
grow change IsA IsA
cat penis HasA HasA
chair stool Antonym IsA
man penis HasA HasA
bridge steel MadeOf MadeOf
miss correct Antonym Antonym
old_lady wife IsA Synonym
settle stop IsA IsA
box computer Synonym HasA
closet cabinet Synonym Synonym
bite pierce IsA IsA
perfect rubbish Antonym Antonym
bed square HasProperty HasProperty
familiar strange Antonym Antonym
space silent HasProperty HasProperty
appear look Synonym IsA
person wrong HasProperty HasProperty
cabinet place IsA IsA
carpet wool MadeOf MadeOf
belief faith PartOf Synonym
school book IsA HasA
corrupt change IsA IsA
board surface IsA IsA
cat alive HasProperty HasProperty
ride transportation Synonym IsA
human tooth HasA HasA
page sheet_of_paper IsA Synonym
bicycle fun HasProperty HasProperty
gentleman lady Antonym Antonym
cry laugh Antonym Antonym
slip move IsA IsA
hospital clean HasProperty HasProperty
sheet_of_paper letter PartOf HasA
stream fish HasA HasA
holiday happy HasProperty HasProperty
pee relief HasProperty IsA
men girl Antonym Antonym
color shade Synonym Synonym
bike stationary HasProperty HasProperty
function work Synonym Synonym
letter number Antonym Antonym
enemy person IsA IsA
sleep wake_up Antonym Antonym
paint color HasProperty HasProperty
farm town Antonym Antonym
vacation trip IsA IsA
modern old Antonym Antonym
hop jump Antonym Synonym
computer heavy HasProperty HasProperty
leg table PartOf PartOf
everyone body HasA HasA
relief comfort IsA Synonym
refuse waste HasProperty Synonym
white color IsA IsA
phone machine IsA IsA
tree seed HasA HasA
duck yellow HasProperty HasProperty
act perform IsA Synonym
typewriter key HasA HasA
trash useless HasProperty HasProperty
stone cold HasProperty HasProperty
shop store IsA IsA
movement watch PartOf Synonym
fire yellow HasProperty HasProperty
clean filthy Antonym Antonym
same equal Synonym Synonym
succeed success Synonym Synonym
house red HasProperty HasProperty
baby fun HasProperty HasProperty
face human PartOf PartOf
drive fun HasProperty HasProperty
leader person IsA IsA
draw write IsA IsA
result end IsA Synonym
nucleus atom PartOf PartOf
cool heat Antonym Antonym
exercise rest Antonym Antonym
room dark HasProperty HasProperty
bird interest HasProperty HasProperty
customer person IsA IsA
doctor smart HasProperty HasProperty
whole part MadeOf Antonym
disk flat HasProperty HasProperty
car trunk HasA HasA
reduce up Antonym Antonym
travel traffic Synonym Synonym
run travel Synonym IsA
set member MadeOf Synonym
pretend lie Synonym Synonym
john person IsA IsA
voice musical_composition IsA PartOf
library literature HasA HasA
chest body_part IsA IsA
alcoholic human IsA IsA
defeat success Antonym Antonym
bloom flower Synonym IsA
lightning thunder Antonym Antonym
die pass Synonym IsA
hole cavity Synonym Synonym
football rough HasProperty HasProperty
happiness unhappiness Antonym Antonym
separation change IsA IsA
new_jersey state IsA IsA
mark design IsA IsA
circle group Synonym IsA
coin silver MadeOf MadeOf
new_jersey place IsA IsA
pass answer Antonym Antonym
tile stone MadeOf Antonym
hospital patient HasA HasA
armor plate Synonym Synonym
cigarette smoke Synonym HasProperty
sex bad HasProperty HasProperty
person hand HasA HasA
cell_phone white HasProperty HasProperty
half whole PartOf Antonym
warmth cold Antonym Antonym
hair root HasA HasA
company place IsA IsA
music information HasA HasA
shade heat Antonym Antonym
fly swim Antonym Antonym
feel soft HasProperty HasProperty
lower change IsA IsA
empire_state_build place IsA IsA
horse calm HasProperty HasProperty
conflict peace Antonym Antonym
divorce connect Antonym Antonym
dog tail HasA HasA
sit get_up Antonym Antonym
compound simple Antonym Antonym
care hurt Antonym Antonym
cigarette bad HasProperty HasProperty
move walk Synonym Synonym
great_britain country HasProperty IsA
butch person IsA IsA
practice performance Antonym IsA
far short Antonym Antonym
church window HasA HasA
hero person IsA IsA
child play HasProperty HasProperty
freedom jail Antonym Antonym
pepper green HasProperty HasProperty
color color Synonym HasProperty
water wet IsA HasProperty
drill practice Synonym IsA
murder wrong HasProperty HasProperty
knot tie Synonym IsA
girl female IsA HasProperty
lead head Synonym PartOf
speak sound IsA IsA
exist be Synonym Synonym
kitchen stove HasA HasA
argument conclusion PartOf HasA
collar hem Antonym Synonym
market place IsA IsA
river land Antonym Antonym
late time Antonym IsA
sister family PartOf PartOf
lace white HasProperty HasProperty
cloud blue Antonym HasProperty
begin end Antonym Antonym
steak eat HasProperty HasProperty
point view Synonym Synonym
key door PartOf PartOf
consume burn Synonym Synonym
busy idle Antonym Antonym
