Training Time: 6:13 minutes
string_instrument string Synonym Synonym
boyfriend friend Synonym Synonym
mountain snow HasA HasA
music note MadeOf HasA
queen female HasProperty HasProperty
picture book PartOf PartOf
animal nature PartOf PartOf
due pay Antonym Synonym
house attic HasA HasA
member committee PartOf PartOf
busy nothing Antonym Antonym
stone solid HasProperty HasProperty
person information HasA HasA
hockey violent HasProperty HasProperty
company loneliness Antonym Antonym
peach pit HasA IsA
wash clean IsA HasProperty
dog penis HasA HasA
bicycle tool IsA IsA
pin nail Synonym PartOf
bark tan IsA HasProperty
bone human PartOf PartOf
end happen IsA Antonym
enjoyment pleasure Synonym Synonym
create make IsA Synonym
container metal MadeOf MadeOf
suit uncomfortable HasProperty HasProperty
breast turkey PartOf PartOf
divide part Synonym IsA
love honey Synonym Antonym
earth globe Synonym Synonym
world material MadeOf HasA
act communication IsA IsA
watch check IsA IsA
pluck pull IsA Antonym
sex fun IsA HasProperty
fungus organism IsA IsA
hat cotton MadeOf MadeOf
promotion change IsA IsA
edge line Synonym Synonym
store stock Synonym HasA
benefit good IsA HasProperty
electron neutron Antonym Antonym
love sweet HasProperty HasProperty
animal meat HasA MadeOf
fruit skin HasA HasA
kite orange HasProperty HasProperty
castle place IsA IsA
end change IsA IsA
warmth soothe HasProperty Synonym
nature lovely HasProperty HasProperty
rooster comb HasA HasA
sound fun HasProperty HasProperty
life time Synonym HasA
slice hit IsA IsA
begin middle Antonym Antonym
plant nature PartOf PartOf
yellow color IsA IsA
point needle PartOf PartOf
bee animal IsA IsA
case container IsA IsA
gas liquid Antonym Antonym
sole body_part IsA IsA
safety good HasProperty HasProperty
earth blue HasProperty HasProperty
atom electron HasA Antonym
car wax HasProperty MadeOf
spine book PartOf PartOf
trade buy Antonym Antonym
woman adult IsA HasProperty
club heart Antonym HasA
connect join IsA Synonym
bell annoy HasProperty HasProperty
animal emotion HasA HasA
utopia community MadeOf IsA
ram device IsA IsA
new green Synonym HasProperty
low reduce Synonym Synonym
confusion knowledge Antonym Antonym
ranch large HasProperty HasProperty
fog cloudy Synonym HasProperty
poison safe Antonym HasProperty
sew stitch Synonym Synonym
lock metal MadeOf MadeOf
she nasty HasProperty HasProperty
leaf plant PartOf PartOf
life experience IsA IsA
camp place IsA IsA
book account Synonym HasA
pain comfortable Antonym Antonym
stumble mistake Synonym IsA
dice die Synonym Synonym
color dark HasProperty Antonym
star object IsA IsA
music tv IsA PartOf
rest break Synonym IsA
party be_alone Antonym Antonym
temple human PartOf PartOf
ordinary original Antonym Antonym
milk cheese Antonym Antonym
consume use Synonym Synonym
glass sand MadeOf MadeOf
rooster chicken IsA Antonym
human free HasProperty HasProperty
pit place IsA IsA
glass solid IsA HasProperty
move sit Antonym Antonym
pleasure emotion IsA IsA
pee warm HasProperty HasProperty
anger enrage Synonym Synonym
hill mound Synonym Synonym
program performance IsA IsA
sign talk Antonym IsA
decide think Antonym IsA
copy creation Antonym Antonym
secret mystery Synonym Synonym
volcano crater PartOf HasA
library dirty HasProperty HasProperty
date go_out IsA Synonym
news fun HasProperty HasProperty
head subject Synonym IsA
joint cannabis MadeOf MadeOf
universe huge HasProperty HasProperty
mankind intelligent HasProperty HasProperty
snow snowflake MadeOf HasA
ink paint Synonym Antonym
head screw PartOf Synonym
knowledge learn Synonym Synonym
air water Antonym Antonym
solve understand IsA Synonym
kitten soft HasProperty HasProperty
wave dress IsA IsA
atmosphere air IsA Synonym
pay payment IsA Synonym
class teacher Antonym HasA
change money IsA IsA
same unique Antonym Antonym
boss leader IsA Synonym
trouble hurt IsA Synonym
divide calculate IsA IsA
exercise important HasProperty HasProperty
love mate Synonym Synonym
compress expand Antonym Antonym
sight vision Synonym Synonym
cool temperature IsA IsA
bird flock PartOf Synonym
house furniture HasA HasA
top dish PartOf PartOf
point pencil PartOf PartOf
gentleman gent Synonym Synonym
race move IsA IsA
crystal clear HasProperty HasProperty
child fun HasA HasProperty
crime justice Antonym Antonym
city many_person HasA HasA
lead heavy HasProperty HasProperty
sport healthy HasProperty HasProperty
music relax HasProperty HasProperty
spot pattern IsA IsA
america continent IsA IsA
nation place IsA IsA
america place IsA IsA
music talk Antonym IsA
seat bed Antonym PartOf
recycle good HasProperty HasProperty
fight good Antonym HasProperty
nothing free HasProperty Antonym
fact information IsA IsA
death mystery IsA HasProperty
wool coat IsA IsA
state population HasA HasA
purpose goal IsA Synonym
learn excite HasProperty HasProperty
sex fun HasProperty HasProperty
cell_phone mobile Synonym IsA
old age Synonym Synonym
tree alive HasProperty HasProperty
lady woman Synonym Synonym
banana dessert IsA IsA
shoe lace HasA HasA
steam ice Antonym Antonym
ireland place IsA IsA
free restrict Antonym Antonym
play grind Antonym Antonym
water clear HasProperty HasProperty
library door HasA HasA
extinguish ignite Antonym Antonym
mailbox door HasA HasA
line thread Synonym Synonym
high superior Synonym Synonym
arm leg Antonym Antonym
dress pant Antonym Antonym
depression happiness Antonym Antonym
head mind Synonym PartOf
airplane fun HasProperty HasProperty
earth gravity HasA HasA
quality cheap Antonym Antonym
lazy energetic Antonym Antonym
balance account PartOf Synonym
curl wave PartOf Synonym
weather cold HasProperty HasProperty
cellar attic Antonym Antonym
muscle weak Antonym HasProperty
enlightenment ignorance Antonym Antonym
sport rule HasA IsA
lease property IsA IsA
crown coin IsA PartOf
branch join Antonym Antonym
lover person IsA IsA
cat eye HasA HasA
college university Synonym Synonym
person meat MadeOf HasA
soldier frighten HasProperty HasProperty
mammal fur HasA HasA
hammer hard HasProperty HasProperty
friend person IsA IsA
closet clothe HasA HasA
reward payment Synonym IsA
draw trace Antonym Synonym
decrease go_down Synonym Synonym
handle part IsA IsA
baseball_diamond place IsA IsA
ordinary unusual Antonym Synonym
floor surface IsA IsA
land shore Antonym Antonym
gay homosexual Synonym Synonym
pale bright Antonym Antonym
document communication IsA IsA
chocolate sugar MadeOf HasA
sport fun HasProperty HasProperty
fight play Antonym Antonym
friend important HasProperty HasProperty
bright dark Antonym Antonym
read listen Antonym Antonym
fold bend Synonym Synonym
lose leave_behind Synonym Antonym
den place IsA IsA
den build IsA IsA
squash sport IsA IsA
game play IsA Synonym
freeway busy HasProperty HasProperty
book important HasProperty HasProperty
head crown Synonym HasA
sidewalk pavement MadeOf Synonym
take remove Synonym Antonym
small minute Synonym Antonym
plain flat HasProperty Synonym
foyer hall Synonym Synonym
mail paper MadeOf MadeOf
paper color HasProperty HasProperty
planet moon HasA Antonym
meat vegetable Antonym Antonym
concrete sand MadeOf Antonym
recycle friendly HasProperty HasProperty
salad eat HasProperty IsA
bed chair Antonym Antonym
please disgust Antonym Antonym
loud quiet Antonym Antonym
serve move IsA IsA
brick clay MadeOf MadeOf
boy man IsA Antonym
head tail Antonym Antonym
kite blue HasProperty HasProperty
glass wood Antonym Antonym
fear emotion IsA IsA
bark rough HasProperty HasProperty
act art IsA IsA
heart muscle IsA MadeOf
strength weak Antonym Antonym
face watch PartOf PartOf
soldier army PartOf PartOf
bike exercise IsA IsA
house phone HasA HasA
lawn place IsA IsA
green red Antonym Antonym
tie equal IsA Antonym
world huge HasProperty HasProperty
aluminium aluminum Synonym MadeOf
handle basket PartOf PartOf
short clothe IsA Antonym
bread food IsA IsA
leave leave_behind Synonym Synonym
advance increase IsA Synonym
christian kind Synonym HasProperty
sing nice HasProperty HasProperty
can aluminum MadeOf MadeOf
weak powerful Antonym Antonym
finger long HasProperty HasProperty
spring metal MadeOf MadeOf
human nice HasProperty HasProperty
fire fireplace IsA PartOf
paint image IsA IsA
element member Synonym IsA
beauty rare HasProperty Antonym
lyric write IsA IsA
bathroom place IsA IsA
computer compact HasProperty HasProperty
cast throw Synonym Synonym
spot stain Synonym IsA
mind memory Synonym HasA
music guitar MadeOf PartOf
flower stem Antonym HasA
huge small Antonym Antonym
pull move IsA IsA
grow cultivate Synonym Synonym
dinner lunch Synonym Antonym
knowledge science Synonym PartOf
branch trunk Antonym PartOf
look watch Synonym PartOf
pin sharp HasProperty HasProperty
strange weird Synonym Synonym
sleep relax IsA HasProperty
turn movement IsA IsA
tread step PartOf PartOf
organism disease HasA HasA
breathe exist IsA IsA
punishment reward Antonym Antonym
lift depress Antonym Antonym
dress trouser Antonym HasA
rest work Antonym Antonym
drive trip Synonym IsA
air gas MadeOf Antonym
ball toy IsA IsA
bone skin Antonym Antonym
idle active Antonym Antonym
island beach HasA HasA
person religion HasProperty HasA
map fold HasProperty Synonym
sheet_of_paper paper IsA IsA
praise important HasProperty HasProperty
misery sadness IsA Synonym
flag mark IsA IsA
function use Synonym Synonym
increase sink Antonym Antonym
ribbon red HasProperty HasProperty
nice charm Synonym Synonym
top complete IsA IsA
female girl Synonym Synonym
pay settle IsA Antonym
seal close IsA IsA
pain life PartOf PartOf
animal mineral Antonym HasA
human sex HasA HasA
detail general Antonym Antonym
divorce marry Antonym Antonym
joint body_part IsA IsA
fan person IsA IsA
change action IsA IsA
anger calm Antonym Antonym
produce destroy Antonym Antonym
head body PartOf PartOf
power hold Synonym Synonym
stop act IsA IsA
familiar unknown Antonym Antonym
create business IsA IsA
club stick IsA Synonym
black illuminate Antonym Antonym
brush tail Synonym Antonym
lunch breakfast Antonym Antonym
fight violence HasA Synonym
shirt button HasA HasA
build ugly HasProperty Antonym
smart stupid Antonym Antonym
family evil HasProperty HasProperty
complete empty Antonym Antonym
mouth face PartOf Synonym
garbage rubbish Synonym Synonym
we nice HasProperty HasProperty
cold disease IsA IsA
increase reduce Antonym Antonym
lightning beautiful HasProperty HasProperty
snake black HasProperty HasProperty
lyric song PartOf PartOf
thick smart Antonym Antonym
place seat Synonym Synonym
brush move IsA IsA
holiday fun HasProperty HasProperty
spirit material Antonym Antonym
typewriter old HasProperty HasProperty
positive uncertain Antonym Antonym
adventure home Antonym Antonym
vision dream Synonym Synonym
dwell house PartOf Synonym
bring take Antonym Antonym
birth change IsA IsA
stretch exercise IsA IsA
window frame HasA HasA
storm calm Antonym Antonym
person god HasProperty HasA
apple healthy HasProperty HasProperty
college fun HasProperty HasProperty
violin fragile HasProperty HasProperty
time absolute HasProperty HasProperty
fish animal Antonym IsA
window wall Antonym PartOf
cd flat HasProperty HasProperty
communism society IsA IsA
divorce split Synonym Synonym
table stable HasProperty HasProperty
earth live HasProperty HasProperty
close far Antonym Antonym
keep take Antonym Antonym
channel sound Synonym IsA
use album IsA Synonym
feather cover IsA IsA
learn fun HasProperty HasProperty
nose face PartOf PartOf
cellar place IsA IsA
album vinyl MadeOf MadeOf
seat device IsA IsA
blow hit Synonym Synonym
knit join IsA IsA
city build HasA IsA
dirty bright Antonym Antonym
head pin PartOf Synonym
ranch place IsA IsA
priest order PartOf Synonym
bathroom toilet HasA Synonym
competition fun HasProperty Antonym
heat change IsA IsA
school department Synonym HasA
axe sharp HasProperty HasProperty
diamond shape IsA IsA
bowl dish IsA IsA
white_house government Synonym IsA
follower leader Antonym Antonym
raise construct IsA IsA
music quiet Antonym Antonym
moon dry HasProperty HasProperty
galaxy milky_way Synonym IsA
dance move IsA IsA
life good HasProperty HasProperty
lift ride Synonym IsA
tool important HasProperty HasProperty
china japan Antonym Antonym
roof cave PartOf PartOf
hunger uncomfortable HasProperty HasProperty
continent ocean Antonym HasA
corn plant IsA IsA
dance art IsA IsA
baby young HasProperty HasProperty
fever illness IsA IsA
speak talk IsA Synonym
approach movement IsA IsA
play use IsA IsA
curve square Antonym Antonym
pool water HasA HasA
drum instrument IsA IsA
orgasm fun HasProperty HasProperty
hollow cavity Synonym IsA
write post Synonym Synonym
glass orange HasProperty HasProperty
ocean water MadeOf MadeOf
water spout HasA IsA
tail animal PartOf PartOf
light good HasProperty HasProperty
wire fasten IsA IsA
paper light HasProperty HasProperty
action movement Synonym Synonym
tall low Antonym Antonym
private see Antonym Antonym
doctor patient Antonym Antonym
great huge Synonym HasProperty
bolt rifle PartOf PartOf
horn ram PartOf PartOf
scale fish PartOf PartOf
kindness action IsA IsA
point mark Synonym IsA
flower fruit Antonym Antonym
accident happen IsA HasProperty
happy unhappy Antonym Antonym
develop destroy Antonym Antonym
child parent Antonym Antonym
minister clergyman IsA IsA
book knowledge HasA HasA
funeral sad HasProperty HasProperty
jack leg HasA HasA
snake animal PartOf IsA
france cool HasProperty HasProperty
wheel object IsA IsA
human flesh MadeOf HasA
attach fasten Synonym Synonym
leave back Antonym Antonym
bitter tasty Antonym Antonym
tread squash IsA PartOf
title head IsA Synonym
sick healthy Antonym Antonym
touch see Antonym Antonym
depression mood IsA IsA
noise sound IsA Synonym
displease please Antonym Antonym
hail rain Antonym IsA
watch alarm HasA Synonym
mature change IsA IsA
stick log Antonym Synonym
case fact IsA IsA
rain water MadeOf HasProperty
volcano mountain IsA IsA
human exercise HasA IsA
make manufacture Synonym Synonym
age life PartOf PartOf
house brick MadeOf MadeOf
rest energy Antonym IsA
edge flat Antonym Antonym
watch tell Antonym Antonym
board wood MadeOf MadeOf
north_america west PartOf Antonym
sex dirty HasProperty HasProperty
boat sail HasA HasA
active person IsA IsA
heavy light Antonym Antonym
girl child HasProperty IsA
silence talk Antonym Antonym
surprise plan Antonym IsA
envelope white HasProperty HasProperty
leader human IsA IsA
material information IsA Synonym
listen mind Synonym Antonym
toe sock PartOf PartOf
fire wet Antonym HasProperty
divorce separation Synonym Synonym
person busy HasProperty HasProperty
space crowd Antonym Antonym
race play IsA Antonym
knot knit Synonym PartOf
gun knife Antonym Antonym
settle fix Synonym IsA
empty remove IsA IsA
mild irritate Antonym Antonym
connect separate Antonym Antonym
book record Synonym IsA
horse hair HasA HasA
smile good HasProperty HasProperty
fish hobby IsA IsA
earth word IsA HasA
flesh color IsA HasProperty
hobby relax HasProperty HasProperty
ink mark IsA IsA
room apartment IsA PartOf
ingredient dish PartOf PartOf
ideology political_ideology Synonym Synonym
dance sit Antonym Antonym
kiss excite HasProperty HasProperty
love care IsA Synonym
mind brain Synonym Synonym
catch get IsA Synonym
son female Antonym HasProperty
ceiling horizontal HasProperty HasProperty
waste valuable Antonym Antonym
flower plant PartOf PartOf
problem solution Antonym Antonym
mistake success Antonym Antonym
boredom excitement Antonym Antonym
mate match Synonym IsA
church quiet HasProperty HasProperty
dog fur HasA HasA
seat car PartOf PartOf
build construction Synonym Synonym
mistake correct Antonym Antonym
cookie good HasProperty HasProperty
credit faith Synonym Antonym
player team PartOf PartOf
sunset beautiful HasProperty HasProperty
faith trust IsA Synonym
feather pillow PartOf PartOf
health good HasProperty HasProperty
boy girl Antonym Antonym
program work IsA IsA
pencil lead HasA MadeOf
child human_be IsA IsA
work book IsA Synonym
vacation relax HasProperty HasProperty
storm weather IsA IsA
smooth bumpy Antonym Antonym
person late HasProperty HasProperty
hour second Antonym Antonym
circle ring Synonym Synonym
chair uncomfortable HasProperty HasProperty
affair marriage Antonym Antonym
sheet_of_paper leaf Synonym HasA
boy child HasProperty IsA
cut sew Antonym Antonym
independence illusion IsA Antonym
health sickness Antonym Antonym
ham person IsA IsA
balloon water HasA MadeOf
catch stop Synonym Antonym
cellar basement Synonym Synonym
apple seed HasA HasA
copy unique Antonym HasProperty
girlfriend enemy Antonym Antonym
pig bone HasA HasA
power business IsA Antonym
dance song Antonym IsA
head understand Synonym IsA
beef good HasProperty HasProperty
atom molecule PartOf PartOf
plane vehicle IsA IsA
apple sweet HasProperty HasProperty
robot metal MadeOf MadeOf
war violence MadeOf IsA
short pant IsA Synonym
break happen IsA IsA
diamond valuable HasProperty HasProperty
down up Antonym Antonym
spirit light HasProperty HasProperty
seat support IsA IsA
dark deep Synonym Antonym
peace happen Antonym IsA
salt mineral IsA IsA
dog puppy HasA Synonym
run speed Synonym IsA
flat smooth Synonym Antonym
boot black HasProperty HasProperty
leg human PartOf PartOf
tight open Antonym Antonym
shop fun HasProperty HasProperty
anchor iron MadeOf MadeOf
boss head Synonym HasA
person sour HasProperty HasProperty
square shape IsA IsA
image form Synonym IsA
rollercoaster fun HasProperty HasProperty
light illuminate Synonym Synonym
mean nice Antonym Antonym
nothing have Antonym Antonym
button mouse PartOf PartOf
blow vacuum Antonym PartOf
drink good HasProperty HasProperty
animal life IsA PartOf
life precious HasProperty HasProperty
church temple Antonym Synonym
copy image Synonym Synonym
chair sit IsA IsA
faith good HasProperty HasProperty
music bad HasProperty HasProperty
pipe wind_instrument IsA IsA
give move Synonym IsA
increase change IsA IsA
mouse cat Antonym Antonym
side half Synonym Synonym
head rear Antonym Antonym
door large HasProperty HasProperty
war hostility IsA IsA
apartment home IsA IsA
park garden Synonym Synonym
north_america earth PartOf PartOf
person mean HasProperty HasProperty
paint mark IsA IsA
adult child Antonym Antonym
soprano person IsA IsA
tour move Synonym IsA
wheel metal MadeOf MadeOf
bite piece Synonym IsA
person one HasProperty Synonym
heart human_body PartOf PartOf
free trap Antonym Antonym
try goal IsA Synonym
wire thread Synonym Synonym
ocean fish HasA HasA
proud humble Antonym Antonym
car mobile HasProperty Antonym
royal subject Antonym IsA
take_away remove Synonym IsA
listen note Synonym Synonym
tree trunk HasA HasA
food taste HasA HasA
horse fast HasProperty HasProperty
life world Synonym PartOf
car hobby IsA IsA
crook police Antonym Antonym
wolf mammal IsA IsA
naughty dirty Synonym Synonym
construct destroy Antonym Antonym
you baby HasA Antonym
apartment flat Synonym HasProperty
skin apple PartOf PartOf
sound taste Antonym Antonym
god human IsA Antonym
trip step IsA Antonym
balance match IsA IsA
movie fun HasProperty HasProperty
misery happiness Antonym Antonym
sugar candy PartOf IsA
handle baggage PartOf IsA
drink fun HasProperty HasProperty
happy sadness Antonym Antonym
book paper MadeOf MadeOf
feature article Synonym PartOf
pupil student Synonym Synonym
burn freeze Antonym Antonym
medicine poison Antonym Antonym
forest land IsA IsA
column post Synonym IsA
captain master Synonym Synonym
car red HasProperty HasProperty
person strange HasProperty HasProperty
destroy raise Antonym Antonym
earth planet Synonym IsA
bread white HasProperty HasProperty
weird strange IsA Synonym
person feel HasA HasA
mountain high HasProperty HasProperty
refuse rubbish Synonym Synonym
game real Antonym Antonym
clean dirty Antonym Antonym
rain weather IsA IsA
pool relax HasProperty HasProperty
marijuana illegal HasProperty HasProperty
concrete hard HasProperty HasProperty
clear settle IsA Synonym
chocolate color IsA HasProperty
flesh meat Synonym PartOf
depression happy Antonym Antonym
memory computer PartOf PartOf
plant cell MadeOf HasA
parent family IsA PartOf
courthouse place IsA IsA
waste burn HasProperty Synonym
lot group Synonym Synonym
cook person IsA IsA
ghost person IsA IsA
football ball IsA Synonym
key metal MadeOf MadeOf
mail post Synonym Synonym
basket plastic MadeOf MadeOf
leaf tree PartOf PartOf
walk travel IsA IsA
ceiling floor Antonym Antonym
house floor HasA HasA
elephant nose HasA HasA
lazy act Antonym IsA
die game IsA IsA
smart bright Antonym Synonym
well device IsA IsA
person mouth HasA HasA
group set Synonym Synonym
ram weapon IsA IsA
choice action IsA IsA
object sharp HasProperty HasProperty
ride park Antonym IsA
move remove Synonym Antonym
pan handle HasA HasA
clear clean Synonym Synonym
town place IsA IsA
clock complicate HasProperty HasProperty
rock hard IsA HasProperty
steam energy HasA IsA
soup dish IsA IsA
order peace Synonym Synonym
turkey balkan_peninsula PartOf PartOf
stress bad HasProperty HasProperty
door doorway PartOf Synonym
sun night Antonym Antonym
point end Synonym IsA
age change IsA IsA
roll stationary Antonym Antonym
wine tasty HasProperty HasProperty
cloud sky PartOf PartOf
knob radio PartOf PartOf
point place Synonym IsA
calm stress Antonym Antonym
leak seal Antonym Antonym
move stand Antonym Antonym
shower rain IsA Synonym
container plastic MadeOf MadeOf
want hold Antonym Synonym
house wood MadeOf MadeOf
pool game IsA IsA
chest trunk PartOf Synonym
loneliness bad HasProperty HasProperty
steal bad HasProperty HasProperty
pit cavity IsA IsA
time precious HasProperty HasProperty
fabric sofa PartOf PartOf
joint fasten IsA Synonym
field court Synonym Antonym
index finger IsA PartOf
beautiful nasty Antonym Antonym
lower movement IsA IsA
bird fly HasProperty HasProperty
cat beautiful HasProperty HasProperty
oil liquid HasProperty IsA
army soldier MadeOf HasA
bug insect Synonym IsA
everyone feel HasA Synonym
fireplace box IsA IsA
divide share Synonym Antonym
settle unsettle Antonym Antonym
pain feel IsA IsA
contract expand Antonym IsA
ocean sea Synonym Synonym
sport entertainment IsA IsA
field beautiful HasProperty HasProperty
relax stress Antonym Antonym
grow change IsA IsA
cat penis HasA HasA
chair stool Antonym Antonym
man penis HasA HasA
bridge steel MadeOf MadeOf
miss correct Antonym Antonym
old_lady wife IsA Antonym
settle stop IsA Antonym
box computer Synonym HasA
closet cabinet Synonym HasA
bite pierce IsA Synonym
perfect rubbish Antonym Antonym
bed square HasProperty HasProperty
familiar strange Antonym Antonym
space silent HasProperty HasProperty
appear look Synonym Synonym
person wrong HasProperty HasProperty
cabinet place IsA IsA
carpet wool MadeOf MadeOf
belief faith PartOf Synonym
school book IsA HasA
corrupt change IsA IsA
board surface IsA Synonym
cat alive HasProperty HasProperty
ride transportation Synonym IsA
human tooth HasA HasA
page sheet_of_paper IsA Synonym
bicycle fun HasProperty HasProperty
gentleman lady Antonym Antonym
cry laugh Antonym Antonym
slip move IsA IsA
hospital clean HasProperty HasProperty
sheet_of_paper letter PartOf HasA
stream fish HasA HasA
holiday happy HasProperty HasProperty
pee relief HasProperty IsA
men girl Antonym Antonym
color shade Synonym Synonym
bike stationary HasProperty HasProperty
function work Synonym IsA
letter number Antonym Antonym
enemy person IsA IsA
sleep wake_up Antonym Antonym
paint color HasProperty IsA
farm town Antonym Antonym
vacation trip IsA Synonym
modern old Antonym Antonym
hop jump Antonym Synonym
computer heavy HasProperty HasProperty
leg table PartOf PartOf
everyone body HasA HasA
relief comfort IsA Synonym
refuse waste HasProperty Synonym
white color IsA IsA
phone machine IsA IsA
tree seed HasA HasA
duck yellow HasProperty HasProperty
act perform IsA IsA
typewriter key HasA HasA
trash useless HasProperty HasProperty
stone cold HasProperty HasProperty
shop store IsA Synonym
movement watch PartOf PartOf
fire yellow HasProperty HasProperty
clean filthy Antonym Antonym
same equal Synonym Antonym
succeed success Synonym Synonym
house red HasProperty HasProperty
baby fun HasProperty HasProperty
face human PartOf PartOf
drive fun HasProperty HasProperty
leader person IsA IsA
draw write IsA Antonym
result end IsA Antonym
nucleus atom PartOf PartOf
cool heat Antonym Antonym
exercise rest Antonym Antonym
room dark HasProperty HasProperty
bird interest HasProperty HasProperty
customer person IsA IsA
doctor smart HasProperty HasProperty
whole part MadeOf Antonym
disk flat HasProperty HasProperty
car trunk HasA HasA
reduce up Antonym Antonym
travel traffic Synonym Synonym
run travel Synonym IsA
set member MadeOf Synonym
pretend lie Synonym Antonym
john person IsA IsA
voice musical_composition IsA IsA
library literature HasA HasA
chest body_part IsA IsA
alcoholic human IsA IsA
defeat success Antonym Antonym
bloom flower Synonym Synonym
lightning thunder Antonym Antonym
die pass Synonym IsA
hole cavity Synonym IsA
football rough HasProperty HasProperty
happiness unhappiness Antonym Antonym
separation change IsA IsA
new_jersey state IsA IsA
mark design IsA IsA
circle group Synonym IsA
coin silver MadeOf MadeOf
new_jersey place IsA IsA
pass answer Antonym IsA
tile stone MadeOf MadeOf
hospital patient HasA HasA
armor plate Synonym IsA
cigarette smoke Synonym Synonym
sex bad HasProperty HasProperty
person hand HasA HasA
cell_phone white HasProperty HasProperty
half whole PartOf Antonym
warmth cold Antonym Antonym
hair root HasA Synonym
company place IsA IsA
music information HasA IsA
shade heat Antonym Antonym
fly swim Antonym IsA
feel soft HasProperty Antonym
lower change IsA IsA
empire_state_build place IsA IsA
horse calm HasProperty HasProperty
conflict peace Antonym Antonym
divorce connect Antonym Antonym
dog tail HasA HasA
sit get_up Antonym Antonym
compound simple Antonym Antonym
care hurt Antonym Antonym
cigarette bad HasProperty HasProperty
move walk Synonym Synonym
great_britain country HasProperty IsA
butch person IsA IsA
practice performance Antonym Antonym
far short Antonym Antonym
church window HasA HasA
hero person IsA IsA
child play HasProperty IsA
freedom jail Antonym Antonym
pepper green HasProperty HasProperty
color color Synonym Synonym
water wet IsA HasProperty
drill practice Synonym IsA
murder wrong HasProperty HasProperty
knot tie Synonym Synonym
girl female IsA HasProperty
lead head Synonym Synonym
speak sound IsA IsA
exist be Synonym Synonym
kitchen stove HasA HasA
argument conclusion PartOf Antonym
collar hem Antonym Synonym
market place IsA IsA
river land Antonym Antonym
late time Antonym IsA
sister family PartOf PartOf
lace white HasProperty HasProperty
cloud blue Antonym HasProperty
begin end Antonym Antonym
steak eat HasProperty IsA
point view Synonym IsA
key door PartOf PartOf
consume burn Synonym Antonym
busy idle Antonym Antonym
