Training Time: 11:04 minutes
string gift RANDOM RANDOM
string look RANDOM RANDOM
string planet RANDOM RANDOM
string play RANDOM RANDOM
string profit RANDOM RANDOM
string soldier RANDOM RANDOM
song culture PART_OF PART_OF
song sound HYPER HYPER
song album PART_OF PART_OF
song bitch RANDOM RANDOM
song car RANDOM RANDOM
song chair RANDOM RANDOM
song construction RANDOM RANDOM
song contract RANDOM RANDOM
song dish RANDOM RANDOM
song free RANDOM RANDOM
dessert food HYPER HYPER
dessert sweet SYN HYPER
dessert act RANDOM RANDOM
dessert animate RANDOM RANDOM
dessert catch RANDOM RANDOM
dessert charge RANDOM RANDOM
dessert face RANDOM RANDOM
dessert jail RANDOM RANDOM
dessert lady RANDOM RANDOM
dessert log RANDOM RANDOM
rise descend ANT ANT
rise down ANT ANT
rise lower ANT ANT
rise sink ANT ANT
rise sunset ANT ANT
rise climb SYN SYN
rise raise SYN SYN
rise burn RANDOM RANDOM
rise cake RANDOM RANDOM
rise finish RANDOM RANDOM
wave straight ANT RANDOM
wave curve HYPER RANDOM
wave sound PART_OF HYPER
wave bed RANDOM RANDOM
wave clothe RANDOM RANDOM
wave computer RANDOM RANDOM
wave edge RANDOM RANDOM
wave plain RANDOM RANDOM
wave profit RANDOM RANDOM
wave reward RANDOM RANDOM
electron neutron ANT ANT
electron proton ANT ANT
electron atom PART_OF HYPER
electron bicycle RANDOM RANDOM
electron dislike RANDOM RANDOM
electron farm RANDOM RANDOM
electron fish RANDOM RANDOM
electron integrity RANDOM RANDOM
electron jail RANDOM RANDOM
electron movie RANDOM RANDOM
fan follower HYPER ANT
fan machine HYPER HYPER
fan person HYPER HYPER
fan army RANDOM RANDOM
fan cap RANDOM PART_OF
fan exercise RANDOM RANDOM
fan film RANDOM RANDOM
fan generous RANDOM RANDOM
fan homosexual RANDOM RANDOM
fan line RANDOM RANDOM
fall ascend ANT ANT
fall fly ANT ANT
fall rise ANT ANT
fall spring ANT ANT
fall stand ANT ANT
fall waterfall SYN SYN
fall child RANDOM RANDOM
fall close RANDOM RANDOM
fall cut RANDOM RANDOM
fall generous RANDOM RANDOM
cook action HYPER RANDOM
cook begin RANDOM RANDOM
cook ideology RANDOM RANDOM
cook idle RANDOM RANDOM
cook keyboard RANDOM RANDOM
cook mail RANDOM RANDOM
cook port RANDOM RANDOM
cook restrict RANDOM RANDOM
tank machine HYPER PART_OF
tank ball RANDOM RANDOM
tank college RANDOM RANDOM
tank descend RANDOM RANDOM
tank government RANDOM RANDOM
tank mind RANDOM RANDOM
tank original RANDOM RANDOM
tank part RANDOM RANDOM
tank scissor RANDOM RANDOM
tank smile RANDOM RANDOM
trouble fortune ANT ANT
trouble safe ANT ANT
trouble life PART_OF RANDOM
trouble pain SYN HYPER
trouble bold RANDOM RANDOM
trouble drink RANDOM RANDOM
trouble exchange RANDOM RANDOM
trouble fancy RANDOM RANDOM
trouble penis RANDOM RANDOM
trouble sea RANDOM RANDOM
cool heat ANT ANT
cool temperature HYPER HYPER
cool hot ANT ANT
cool warm ANT ANT
cool criminal RANDOM RANDOM
cool error RANDOM RANDOM
cool flesh RANDOM RANDOM
cool fruit RANDOM RANDOM
cool grip RANDOM RANDOM
cool matter RANDOM RANDOM
school education HYPER HYPER
school place HYPER HYPER
school teach SYN SYN
school action RANDOM RANDOM
school care RANDOM RANDOM
school cell RANDOM RANDOM
school mineral RANDOM RANDOM
school novel RANDOM RANDOM
school post RANDOM RANDOM
school problem RANDOM RANDOM
stapler object HYPER HYPER
stapler device HYPER HYPER
stapler tool HYPER HYPER
stapler bill RANDOM RANDOM
stapler committee RANDOM RANDOM
stapler computer RANDOM PART_OF
stapler ram RANDOM RANDOM
stapler recess RANDOM RANDOM
stapler relax RANDOM RANDOM
stapler sea RANDOM RANDOM
die live ANT ANT
die change HYPER RANDOM
die blanket RANDOM RANDOM
die boredom RANDOM RANDOM
die dislike RANDOM RANDOM
die filthy RANDOM RANDOM
die individual RANDOM RANDOM
die law RANDOM RANDOM
die original RANDOM RANDOM
die press RANDOM RANDOM
sand stone ANT ANT
sand ocean ANT PART_OF
sand beach SYN PART_OF
sand communism RANDOM RANDOM
sand flesh RANDOM RANDOM
sand note RANDOM RANDOM
sand phrase RANDOM RANDOM
sand residence RANDOM RANDOM
sand size RANDOM RANDOM
sand toy RANDOM RANDOM
settle unsettle ANT ANT
settle stop HYPER RANDOM
settle admire RANDOM RANDOM
settle all RANDOM RANDOM
settle complicate RANDOM RANDOM
settle flower RANDOM RANDOM
settle integrity RANDOM RANDOM
settle mean RANDOM RANDOM
settle parent RANDOM RANDOM
settle potato RANDOM RANDOM
team individual ANT ANT
team group HYPER HYPER
team gang SYN PART_OF
team degree RANDOM RANDOM
team get RANDOM RANDOM
team bull RANDOM RANDOM
team hear RANDOM RANDOM
team look RANDOM RANDOM
team mammal RANDOM RANDOM
team produce RANDOM RANDOM
small size HYPER SYN
small minute SYN RANDOM
small contaminate RANDOM RANDOM
small event RANDOM HYPER
small match RANDOM RANDOM
small medicine RANDOM RANDOM
small reproduce RANDOM RANDOM
small solution RANDOM RANDOM
small sunshine RANDOM RANDOM
small violence RANDOM RANDOM
rack support HYPER RANDOM
rack complex RANDOM RANDOM
rack descend RANDOM RANDOM
rack laugh RANDOM RANDOM
rack proton RANDOM RANDOM
rack recess RANDOM SYN
rack theory RANDOM RANDOM
rack unhappiness RANDOM RANDOM
rack weak RANDOM RANDOM
rack win RANDOM RANDOM
enjoy dislike ANT ANT
enjoy hate ANT ANT
enjoy suffer ANT ANT
enjoy army RANDOM RANDOM
enjoy asia RANDOM RANDOM
enjoy coat RANDOM RANDOM
enjoy commerce RANDOM RANDOM
enjoy event RANDOM HYPER
enjoy medicine RANDOM RANDOM
enjoy misunderstand RANDOM RANDOM
work hobby ANT ANT
work leisure ANT ANT
work recreation ANT ANT
work relax ANT ANT
work retire ANT ANT
work boy RANDOM RANDOM
work constellation RANDOM RANDOM
work deceive RANDOM RANDOM
work democracy RANDOM RANDOM
work theory RANDOM RANDOM
crop weed ANT RANDOM
crop cut HYPER RANDOM
crop plant HYPER HYPER
crop harvest SYN SYN
crop instrument RANDOM HYPER
crop machine RANDOM RANDOM
crop mild RANDOM RANDOM
crop pipe RANDOM RANDOM
crop poem RANDOM RANDOM
crop praise RANDOM RANDOM
sign communication HYPER HYPER
sign mark SYN HYPER
sign basement RANDOM RANDOM
sign deal RANDOM SYN
sign degree RANDOM RANDOM
sign kindness RANDOM RANDOM
sign lower RANDOM RANDOM
sign fall RANDOM RANDOM
sign trash RANDOM RANDOM
sign attach RANDOM RANDOM
crook police ANT ANT
crook criminal SYN HYPER
crook automobile RANDOM RANDOM
crook build RANDOM RANDOM
crook bush RANDOM RANDOM
crook full RANDOM RANDOM
crook harvest RANDOM RANDOM
crook passageway RANDOM RANDOM
crook relax RANDOM RANDOM
crook ride RANDOM RANDOM
rough smooth ANT ANT
rough soft ANT ANT
rough bumpy SYN ANT
rough animal RANDOM RANDOM
rough film RANDOM RANDOM
rough freeze RANDOM RANDOM
rough knife RANDOM RANDOM
rough paint RANDOM RANDOM
rough seat RANDOM RANDOM
rough space RANDOM RANDOM
depression happiness ANT ANT
depression mood HYPER PART_OF
depression body RANDOM RANDOM
depression common RANDOM RANDOM
depression dull RANDOM RANDOM
depression fragile RANDOM RANDOM
depression goal RANDOM RANDOM
depression lie RANDOM RANDOM
depression molecule RANDOM RANDOM
depression pan RANDOM RANDOM
even bumpy ANT RANDOM
even flat SYN RANDOM
even level SYN RANDOM
even dance RANDOM RANDOM
even dog RANDOM RANDOM
even drug RANDOM RANDOM
even follow RANDOM RANDOM
even gear RANDOM RANDOM
even happiness RANDOM RANDOM
even jar RANDOM RANDOM
disease illness HYPER HYPER
disease health ANT ANT
disease sickness SYN HYPER
disease bread RANDOM RANDOM
disease element RANDOM RANDOM
disease emotion RANDOM RANDOM
disease phrase RANDOM RANDOM
disease pitch RANDOM RANDOM
disease rear RANDOM RANDOM
disease sadness RANDOM RANDOM
poison kill HYPER SYN
poison contaminate SYN HYPER
poison birth RANDOM RANDOM
poison car RANDOM RANDOM
poison commerce RANDOM RANDOM
poison dirty RANDOM RANDOM
poison grow RANDOM RANDOM
poison score RANDOM RANDOM
poison shallow RANDOM RANDOM
poison table RANDOM RANDOM
exercise lazy ANT RANDOM
exercise rest ANT ANT
exercise sit ANT RANDOM
exercise blanket RANDOM RANDOM
exercise homosexual RANDOM RANDOM
exercise kite RANDOM RANDOM
exercise like RANDOM RANDOM
exercise lock RANDOM RANDOM
exercise move RANDOM HYPER
exercise pencil RANDOM RANDOM
full half ANT ANT
full complete SYN SYN
full answer RANDOM RANDOM
full birth RANDOM RANDOM
full bring RANDOM RANDOM
full car RANDOM RANDOM
full friend RANDOM RANDOM
full leisure RANDOM RANDOM
full steal RANDOM RANDOM
full stool RANDOM RANDOM
hero character HYPER HYPER
hero human HYPER HYPER
hero person HYPER HYPER
hero approach RANDOM RANDOM
hero asia RANDOM RANDOM
hero catch RANDOM RANDOM
hero chill RANDOM RANDOM
hero construct RANDOM RANDOM
hero empty RANDOM RANDOM
hero sad RANDOM RANDOM
exchange keep ANT RANDOM
exchange commerce HYPER HYPER
exchange beat RANDOM RANDOM
exchange begin RANDOM RANDOM
exchange eye RANDOM RANDOM
exchange gift RANDOM HYPER
exchange insect RANDOM RANDOM
exchange nice RANDOM RANDOM
exchange red RANDOM RANDOM
exchange suffer RANDOM RANDOM
water food ANT HYPER
water drink HYPER HYPER
water desert ANT ANT
water dry ANT ANT
water fluid HYPER HYPER
water liquid HYPER HYPER
water sea PART_OF PART_OF
water challenge RANDOM RANDOM
water choose RANDOM RANDOM
water decorate RANDOM RANDOM
sink bathroom PART_OF PART_OF
sink highway RANDOM RANDOM
sink hour RANDOM RANDOM
sink idea RANDOM RANDOM
sink liquid RANDOM RANDOM
sink lock RANDOM RANDOM
sink one RANDOM RANDOM
sink ordinary RANDOM RANDOM
sink recreation RANDOM RANDOM
sink wed RANDOM RANDOM
separation join ANT ANT
separation keep ANT RANDOM
separation marriage ANT ANT
separation union ANT ANT
separation division SYN SYN
separation fill RANDOM RANDOM
separation log RANDOM RANDOM
separation phrase RANDOM RANDOM
separation politician RANDOM RANDOM
separation stock RANDOM RANDOM
relaxation stress ANT ANT
relaxation recreation PART_OF HYPER
relaxation relax SYN SYN
relaxation approach RANDOM RANDOM
relaxation baggage RANDOM RANDOM
relaxation dry RANDOM RANDOM
relaxation fruit RANDOM RANDOM
relaxation job RANDOM RANDOM
relaxation picture RANDOM RANDOM
relaxation sell RANDOM RANDOM
strong fragile ANT ANT
strong weak ANT ANT
strong bathroom RANDOM RANDOM
strong bed RANDOM RANDOM
strong construction RANDOM RANDOM
strong cover RANDOM RANDOM
strong nail RANDOM RANDOM
strong nose RANDOM RANDOM
strong sign RANDOM RANDOM
strong ocean RANDOM RANDOM
great huge SYN SYN
great account RANDOM RANDOM
great be RANDOM RANDOM
great beat RANDOM RANDOM
great bite RANDOM RANDOM
great complete RANDOM RANDOM
great machine RANDOM RANDOM
great play RANDOM RANDOM
great ring RANDOM RANDOM
voice silent ANT ANT
voice sound HYPER HYPER
voice speak SYN SYN
voice forest RANDOM RANDOM
voice hall RANDOM RANDOM
voice less RANDOM RANDOM
voice math RANDOM RANDOM
voice on RANDOM RANDOM
voice sad RANDOM RANDOM
voice saucepan RANDOM RANDOM
study learn HYPER SYN
study school HYPER PART_OF
study education PART_OF SYN
study remove RANDOM RANDOM
study displease RANDOM RANDOM
study horn RANDOM RANDOM
study pick RANDOM RANDOM
study magic RANDOM RANDOM
study rise RANDOM RANDOM
study rough RANDOM RANDOM
defeat success ANT ANT
defeat victory ANT ANT
defeat beat SYN ANT
defeat boat RANDOM RANDOM
defeat center RANDOM RANDOM
defeat education RANDOM RANDOM
defeat lid RANDOM RANDOM
defeat motorcycle RANDOM RANDOM
defeat pipe RANDOM RANDOM
defeat professor RANDOM RANDOM
punishment praise ANT ANT
punishment reward ANT ANT
punishment competition RANDOM RANDOM
punishment dinner RANDOM RANDOM
punishment forest RANDOM RANDOM
punishment spirit RANDOM RANDOM
punishment trust RANDOM RANDOM
punishment vacuum RANDOM RANDOM
punishment waterfall RANDOM RANDOM
divide share SYN ANT
divide calculate HYPER SYN
divide separate SYN SYN
divide split SYN SYN
divide control RANDOM RANDOM
divide cup RANDOM RANDOM
divide hollow RANDOM RANDOM
divide illness RANDOM RANDOM
divide instrument RANDOM RANDOM
divide match RANDOM RANDOM
win success HYPER HYPER
win victory HYPER SYN
win store RANDOM RANDOM
win bush RANDOM RANDOM
win committee RANDOM RANDOM
win develop RANDOM RANDOM
win freeze RANDOM RANDOM
win hallway RANDOM RANDOM
win lightweight RANDOM RANDOM
win meet RANDOM RANDOM
duck animal HYPER HYPER
duck bird HYPER HYPER
duck move HYPER RANDOM
duck begin RANDOM RANDOM
duck bright RANDOM RANDOM
duck clothe RANDOM RANDOM
duck club RANDOM RANDOM
duck color RANDOM RANDOM
duck crystal RANDOM RANDOM
duck death RANDOM RANDOM
sugar food HYPER HYPER
sugar sour ANT ANT
sugar candy PART_OF HYPER
sugar juice PART_OF HYPER
sugar sweet PART_OF HYPER
sugar calm RANDOM RANDOM
sugar energetic RANDOM RANDOM
sugar erect RANDOM RANDOM
sugar like RANDOM RANDOM
sugar pain RANDOM RANDOM
cloud sky PART_OF PART_OF
cloud weather PART_OF PART_OF
cloud buy RANDOM RANDOM
cloud coat RANDOM RANDOM
cloud fashion RANDOM RANDOM
cloud galaxy RANDOM PART_OF
cloud mild RANDOM RANDOM
cloud powerful RANDOM RANDOM
cloud sleep RANDOM RANDOM
cloud squash RANDOM RANDOM
eye face PART_OF PART_OF
eye head PART_OF PART_OF
eye human PART_OF PART_OF
eye needle PART_OF RANDOM
eye airplane RANDOM RANDOM
eye cattle RANDOM RANDOM
eye fragile RANDOM RANDOM
eye lens RANDOM PART_OF
eye map RANDOM RANDOM
eye on RANDOM RANDOM
spike point HYPER HYPER
spike confidence RANDOM RANDOM
spike wake RANDOM RANDOM
spike value RANDOM RANDOM
spike empty RANDOM RANDOM
spike jail RANDOM RANDOM
spike lens RANDOM RANDOM
spike meal RANDOM RANDOM
spike reverse RANDOM RANDOM
spike television RANDOM RANDOM
flat bumpy ANT ANT
flat smooth SYN ANT
flat bedroom RANDOM HYPER
flat branch RANDOM RANDOM
flat disk RANDOM PART_OF
flat excitement RANDOM RANDOM
flat finger RANDOM RANDOM
flat floor RANDOM HYPER
flat gentleman RANDOM RANDOM
flat money RANDOM RANDOM
diamond crystal HYPER HYPER
diamond material HYPER HYPER
diamond shape HYPER HYPER
diamond stone HYPER HYPER
diamond air RANDOM RANDOM
diamond appear RANDOM RANDOM
diamond cool RANDOM RANDOM
diamond look RANDOM RANDOM
diamond pretend RANDOM RANDOM
diamond shallow RANDOM RANDOM
door window ANT ANT
door automobile PART_OF PART_OF
door car PART_OF PART_OF
door closet PART_OF PART_OF
door doorway PART_OF PART_OF
door house PART_OF PART_OF
door animate RANDOM RANDOM
door choose RANDOM RANDOM
door competition RANDOM RANDOM
door descend RANDOM RANDOM
club weapon HYPER HYPER
club beam RANDOM PART_OF
club climb RANDOM RANDOM
club constellation RANDOM RANDOM
club dinner RANDOM RANDOM
club direction RANDOM RANDOM
club dirty RANDOM RANDOM
club like RANDOM RANDOM
club shore RANDOM RANDOM
club transport RANDOM RANDOM
company business SYN HYPER
company ball RANDOM RANDOM
company boat RANDOM RANDOM
company chair RANDOM RANDOM
company dish RANDOM RANDOM
company leak RANDOM RANDOM
company mail RANDOM RANDOM
company match RANDOM RANDOM
company stupid RANDOM RANDOM
company violent RANDOM RANDOM
glass solid HYPER HYPER
glass vessel HYPER HYPER
glass window PART_OF PART_OF
glass all RANDOM RANDOM
glass bold RANDOM RANDOM
glass chain RANDOM RANDOM
glass hold RANDOM RANDOM
glass instruction RANDOM RANDOM
glass sex RANDOM RANDOM
glass ship RANDOM RANDOM
flag mark HYPER RANDOM
flag sign HYPER HYPER
flag america RANDOM PART_OF
flag disk RANDOM RANDOM
flag eat RANDOM RANDOM
flag lower RANDOM RANDOM
flag misunderstand RANDOM RANDOM
flag play RANDOM RANDOM
flag raise RANDOM RANDOM
flag waterfall RANDOM RANDOM
train practice HYPER SYN
train transportation HYPER HYPER
train body RANDOM RANDOM
train cattle RANDOM PART_OF
train level RANDOM RANDOM
train needle RANDOM RANDOM
train rank RANDOM RANDOM
train respect RANDOM RANDOM
train stand RANDOM RANDOM
train telephone RANDOM RANDOM
stick log ANT PART_OF
stick branch SYN PART_OF
stick asia RANDOM RANDOM
stick construct RANDOM RANDOM
stick elate RANDOM RANDOM
stick hall RANDOM RANDOM
stick well RANDOM RANDOM
stick illness RANDOM RANDOM
stick loose RANDOM RANDOM
stick party RANDOM RANDOM
harvest plant ANT ANT
harvest produce SYN SYN
harvest civilization RANDOM RANDOM
harvest game RANDOM RANDOM
harvest humble RANDOM RANDOM
harvest idol RANDOM RANDOM
harvest report RANDOM RANDOM
harvest sour RANDOM RANDOM
harvest south RANDOM RANDOM
harvest stale RANDOM RANDOM
fly land ANT ANT
fly move HYPER HYPER
fly transport HYPER RANDOM
fly travel HYPER HYPER
fly escape SYN RANDOM
fly rise SYN RANDOM
fly base RANDOM RANDOM
fly blanket RANDOM RANDOM
fly drink RANDOM RANDOM
fly hide RANDOM RANDOM
word speech HYPER PART_OF
word dictionary PART_OF PART_OF
word language PART_OF PART_OF
word phrase PART_OF HYPER
word sentence PART_OF HYPER
word act RANDOM HYPER
word affair RANDOM RANDOM
word air RANDOM RANDOM
word clean RANDOM RANDOM
word hot RANDOM RANDOM
room apartment HYPER HYPER
room place HYPER HYPER
room house PART_OF PART_OF
room bold RANDOM RANDOM
room dash RANDOM RANDOM
room disease RANDOM RANDOM
room friend RANDOM RANDOM
room leaf RANDOM RANDOM
room meal RANDOM RANDOM
room pay RANDOM RANDOM
ride walk ANT ANT
ride park ANT RANDOM
ride be RANDOM RANDOM
ride bold RANDOM RANDOM
ride brave RANDOM RANDOM
ride cup RANDOM RANDOM
ride dog RANDOM RANDOM
ride evil RANDOM RANDOM
ride kid RANDOM RANDOM
ride nail RANDOM RANDOM
pretend act SYN HYPER
pretend lie SYN HYPER
pretend clergyman RANDOM RANDOM
pretend fog RANDOM RANDOM
pretend gang RANDOM RANDOM
pretend hammer RANDOM RANDOM
pretend ice RANDOM RANDOM
pretend lady RANDOM RANDOM
pretend lock RANDOM RANDOM
pretend sheep RANDOM RANDOM
roof bus PART_OF RANDOM
roof cave PART_OF RANDOM
roof construction PART_OF RANDOM
roof house PART_OF PART_OF
roof book RANDOM RANDOM
roof continent RANDOM RANDOM
roof dance RANDOM RANDOM
roof idea RANDOM RANDOM
roof practice RANDOM RANDOM
roof season RANDOM RANDOM
soup dish HYPER HYPER
soup food HYPER HYPER
soup meal PART_OF HYPER
soup beach RANDOM RANDOM
soup beam RANDOM RANDOM
soup instruction RANDOM RANDOM
soup mate RANDOM RANDOM
soup screw RANDOM RANDOM
soup sofa RANDOM RANDOM
soup teach RANDOM RANDOM
sour sweet ANT ANT
sour taste HYPER HYPER
sour all RANDOM RANDOM
sour compress RANDOM RANDOM
sour contaminate RANDOM RANDOM
sour hate RANDOM RANDOM
sour integrity RANDOM RANDOM
sour noise RANDOM RANDOM
sour pencil RANDOM RANDOM
sour travel RANDOM RANDOM
den place HYPER HYPER
den blow RANDOM RANDOM
den bottle RANDOM RANDOM
den breathe RANDOM RANDOM
den document RANDOM HYPER
den effect RANDOM RANDOM
den ifn RANDOM RANDOM
den newspaper RANDOM RANDOM
den plastic RANDOM RANDOM
den rare RANDOM RANDOM
root trunk ANT PART_OF
root growth HYPER SYN
root plant PART_OF HYPER
root tooth PART_OF RANDOM
root tree PART_OF PART_OF
root arrive RANDOM RANDOM
root care RANDOM RANDOM
root far RANDOM RANDOM
root gear RANDOM RANDOM
root heat RANDOM RANDOM
control test HYPER RANDOM
control all RANDOM RANDOM
control bold RANDOM RANDOM
control club RANDOM RANDOM
control fun RANDOM ANT
control landscape RANDOM RANDOM
control library RANDOM RANDOM
control manufacture RANDOM RANDOM
control past RANDOM RANDOM
control port RANDOM RANDOM
heart muscle HYPER PART_OF
heart organ HYPER HYPER
heart shape HYPER RANDOM
heart body PART_OF PART_OF
heart courage SYN PART_OF
heart spirit SYN PART_OF
heart gent RANDOM RANDOM
heart mistake RANDOM RANDOM
heart open RANDOM RANDOM
heart shop RANDOM RANDOM
want have ANT ANT
want demand HYPER ANT
want bottle RANDOM RANDOM
want idle RANDOM RANDOM
want individual RANDOM RANDOM
want kite RANDOM RANDOM
want leak RANDOM RANDOM
want lightweight RANDOM RANDOM
want sugar RANDOM RANDOM
want past RANDOM RANDOM
give take ANT ANT
give perform HYPER RANDOM
give share HYPER ANT
give move SYN RANDOM
give band RANDOM RANDOM
give father RANDOM RANDOM
give hot RANDOM RANDOM
give lock RANDOM RANDOM
give pencil RANDOM RANDOM
give poem RANDOM RANDOM
slip mistake SYN HYPER
slip army RANDOM RANDOM
slip boy RANDOM RANDOM
slip comfortable RANDOM RANDOM
slip communicate RANDOM RANDOM
slip cook RANDOM RANDOM
slip medicine RANDOM RANDOM
slip misunderstand RANDOM RANDOM
slip pick RANDOM RANDOM
slip pot RANDOM RANDOM
dress strip ANT SYN
dress costume SYN HYPER
dress gown SYN SYN
